"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 16 12:54:43 IST 2022","Sun Jan 16 12:54:50 IST 2022","6828","","homepageTests: Enrollment with Credit Card and Debit Bank account option","","homepageTests: Enrollment with Credit Card and Debit Bank account option","should click on submit enrollment button","should click on submit enrollment button",""
"passed","Sun Jan 16 13:25:34 IST 2022","Sun Jan 16 13:25:35 IST 2022","1232","","lucaBillingTests: Edit Billing module, Pending Families + add new family verification","","lucaBillingTests: Edit Billing module, Pending Families + add new family verification","should input correct password","should input correct password",""
"passed","Sun Jan 16 14:27:37 IST 2022","Sun Jan 16 14:27:45 IST 2022","8547","","Luca Settings: Verify newly added planis displayed in API result, API_030, Verify if user update any payment plan, then updated payment plan data, will be displayed in API result API_031","","Luca Settings: Verify newly added planis displayed in API result, API_030, Verify if user update any payment plan, then updated payment plan data, will be displayed in API result API_031","should verify the confirmation message again","should verify the confirmation message again",""
"passed","Sun Jan 16 12:57:36 IST 2022","Sun Jan 16 12:57:37 IST 2022","817","","Renweb Tests: Registration for creating new family","","Renweb Tests: Registration for creating new family","should input new value into the ZipCode field","should input new value into the ZipCode field",""
"passed","Sun Jan 16 13:01:12 IST 2022","Sun Jan 16 13:01:49 IST 2022","36263","","lucaFamiliesModuleTests: View All Families, Apply Student Based Specific month fee","","lucaFamiliesModuleTests: View All Families, Apply Student Based Specific month fee","should modify user data in order to log in the user in EWS","should modify user data in order to log in the user in EWS",""
"passed","Sun Jan 16 14:22:53 IST 2022","Sun Jan 16 14:22:54 IST 2022","1183","","lucaManageLateFeesTests: Manage Late Fees controls Verification","","lucaManageLateFeesTests: Manage Late Fees controls Verification","should verify that the Submit button is disabled second time","should verify that the Submit button is disabled second time",""
"skipped","Sun Jan 16 14:39:59 IST 2022","Sun Jan 16 14:39:59 IST 2022","2","","Tuition Manager Bank Account Payment Encryption Verification","","Tuition Manager Bank Account Payment Encryption Verification","should verify that the Bank Account No is Encrypted in non-Primary payment Account Info section","should verify that the Bank Account No is Encrypted in non-Primary payment Account Info section",""
"passed","Sun Jan 16 14:26:56 IST 2022","Sun Jan 16 14:26:58 IST 2022","2433","","Luca Settings: Luca Enrollment, Enroll new family, API_027","","Luca Settings: Luca Enrollment, Enroll new family, API_027","should input the family Heads first and last name","should input the family Heads first and last name",""
"passed","Sun Jan 16 12:59:33 IST 2022","Sun Jan 16 12:59:45 IST 2022","11707","","negativeTests: Enrollment Negative Payer Name test","","negativeTests: Enrollment Negative Payer Name test","should click on next button and verify page errors","should click on next button and verify page errors",""
"passed","Sun Jan 16 13:40:04 IST 2022","Sun Jan 16 13:40:10 IST 2022","6209","","lucaFeesAndDiscountsTests: Add Discount Verification, check filter Criteria","","lucaFeesAndDiscountsTests: Add Discount Verification, check filter Criteria","should click Purge A Family under Settings button","should click Purge A Family under Settings button",""
"passed","Sun Jan 16 13:44:17 IST 2022","Sun Jan 16 13:44:21 IST 2022","3951","","lucaBuyNowGiveNowTests: Buy Now Give Now Manage Items","","lucaBuyNowGiveNowTests: Buy Now Give Now Manage Items","should click the Save button, 1st time","should click the Save button, 1st time",""
"passed","Sun Jan 16 12:58:52 IST 2022","Sun Jan 16 12:58:53 IST 2022","343","","Renweb Tests: Registration for adding new student","","Renweb Tests: Registration for adding new student","should compare both hashes, their values needs to be different ","should compare both hashes, their values needs to be different ",""
"passed","Sun Jan 16 14:28:23 IST 2022","Sun Jan 16 14:28:24 IST 2022","1257","","Luca Settings: Create a family Via APi, verify data in Edit Billing Details API_056","","Luca Settings: Create a family Via APi, verify data in Edit Billing Details API_056","should input valid password in order to verify API data is correct in UI","should input valid password in order to verify API data is correct in UI",""
"passed","Sun Jan 16 13:25:08 IST 2022","Sun Jan 16 13:25:09 IST 2022","1362","","lucaBillingTests: Verify Applicable Not applicable Discount","","lucaBillingTests: Verify Applicable Not applicable Discount","should click on Edit Billing Details","should click on Edit Billing Details",""
"passed","Sun Jan 16 12:57:01 IST 2022","Sun Jan 16 12:57:02 IST 2022","874","","externalTests: Verify that External Registration creates family correctly for Basis Charter schools","","externalTests: Verify that External Registration creates family correctly for Basis Charter schools","should should input new value into the Student1 Tuition Ammount field","should should input new value into the Student1 Tuition Ammount field",""
"passed","Sun Jan 16 13:26:27 IST 2022","Sun Jan 16 13:26:29 IST 2022","2257","","lucaBillingTests: Verify Applicable Not applicable Discount","","lucaBillingTests: Verify Applicable Not applicable Discount","should verify that the appropriate message is received third time","should verify that the appropriate message is received third time",""
"passed","Sun Jan 16 14:21:10 IST 2022","Sun Jan 16 14:21:11 IST 2022","1504","","lucaReviewManageFollowUpTests: Review Manage Follow Up Validations UI Controls","","lucaReviewManageFollowUpTests: Review Manage Follow Up Validations UI Controls","should input values into the Reason Field, fourth time","should input values into the Reason Field, fourth time",""
"passed","Sun Jan 16 12:54:12 IST 2022","Sun Jan 16 12:54:13 IST 2022","1067","","homepageTests: Enrollment with Credit Card entry","","homepageTests: Enrollment with Credit Card entry","should click on selected language","should click on selected language",""
"failed","Sun Jan 16 14:34:20 IST 2022","Sun Jan 16 14:35:20 IST 2022","60845","","Luca Settings: Verify Luca User can link two families api-92","","Luca Settings: Verify Luca User can link two families api-92","should wait for the family and students billing details page to load again","should wait for the family and students billing details page to load again",""
"passed","Sun Jan 16 12:56:11 IST 2022","Sun Jan 16 12:56:13 IST 2022","2575","","homepageTests: Enrollment with Mail In Invoice payment option","","homepageTests: Enrollment with Mail In Invoice payment option","should logout from luca","should logout from luca",""
"passed","Sun Jan 16 13:36:49 IST 2022","Sun Jan 16 13:36:57 IST 2022","7710","","lucaFeesAndDiscountsTests: Verifying Drag and Drop Functionality for Fees and Discounts","","lucaFeesAndDiscountsTests: Verifying Drag and Drop Functionality for Fees and Discounts","should verify the confirmation message for adding a new discount","should verify the confirmation message for adding a new discount",""
"passed","Sun Jan 16 14:35:35 IST 2022","Sun Jan 16 14:35:35 IST 2022","466","","Call Center Payment Encryption Tests, Bank Account family","","Call Center Payment Encryption Tests, Bank Account family","should make a API payment with that family in order to verify payment history","should make a API payment with that family in order to verify payment history",""
"passed","Sun Jan 16 12:59:24 IST 2022","Sun Jan 16 12:59:26 IST 2022","1520","","externalTests: Verify that External Registration creates family correctly for Basis Independent Schools","","externalTests: Verify that External Registration creates family correctly for Basis Independent Schools","should modify the Enrollment Fee to be 100","should modify the Enrollment Fee to be 100",""
"passed","Sun Jan 16 13:05:38 IST 2022","Sun Jan 16 13:05:39 IST 2022","563","","lucaFamiliesModuleTests: Manage Families details, Change payment settings","","lucaFamiliesModuleTests: Manage Families details, Change payment settings","should get and store the Account Name in order to check against it later","should get and store the Account Name in order to check against it later",""
"passed","Sun Jan 16 13:03:56 IST 2022","Sun Jan 16 13:03:59 IST 2022","2833","","lucaFamiliesModuleTests: Manage Families, Apply discount batch action","","lucaFamiliesModuleTests: Manage Families, Apply discount batch action","should click on the View Mode button first time","should click on the View Mode button first time",""
"passed","Sun Jan 16 14:34:10 IST 2022","Sun Jan 16 14:34:12 IST 2022","1900","","Parent Site Authentification, Changing the Password in Luca veryfing Login into Parent Site","","Parent Site Authentification, Changing the Password in Luca veryfing Login into Parent Site","should press the enter key in order to attempt login, 1st time","should press the enter key in order to attempt login, 1st time",""
"failed","Sun Jan 16 13:04:28 IST 2022","Sun Jan 16 13:04:35 IST 2022","6021","","lucaFamiliesModuleTests: View All Families, Apply Student Based Specific month fee","","lucaFamiliesModuleTests: View All Families, Apply Student Based Specific month fee","should click on Edit Billing Details","should click on Edit Billing Details",""
"passed","Sun Jan 16 14:28:30 IST 2022","Sun Jan 16 14:28:36 IST 2022","5797","","Luca Settings: Create a family Via APi, verify Payment Methods in UI API_048, API_049 , API_050, API_051, API_052, API_053, API_054, API_055","","Luca Settings: Create a family Via APi, verify Payment Methods in UI API_048, API_049 , API_050, API_051, API_052, API_053, API_054, API_055","should verify that Auto Debit Credit Card Account is Selected as default","should verify that Auto Debit Credit Card Account is Selected as default",""
"passed","Sun Jan 16 13:34:39 IST 2022","Sun Jan 16 13:34:40 IST 2022","1170","","lucaFeesAndDiscountsTests: Check Negative Amount Error messages","","lucaFeesAndDiscountsTests: Check Negative Amount Error messages","should input password","should input password",""
"passed","Sun Jan 16 14:27:40 IST 2022","Sun Jan 16 14:27:41 IST 2022","1550","","Luca Settings: Luca Enrollment, Enroll new family, API_027","","Luca Settings: Luca Enrollment, Enroll new family, API_027","should click on the family","should click on the family",""
"passed","Sun Jan 16 14:10:17 IST 2022","Sun Jan 16 14:10:20 IST 2022","3570","","lucaFamiliesModuleTests: View All Families, Search Field Test Cases","","lucaFamiliesModuleTests: View All Families, Search Field Test Cases","should click on the families link displayed","should click on the families link displayed",""
"passed","Sun Jan 16 13:31:20 IST 2022","Sun Jan 16 13:31:22 IST 2022","2722","","Main Landing Page, Verify the accessibility of Training Classes","","Main Landing Page, Verify the accessibility of Training Classes","should load Luca login Page successfully","should load Luca login Page successfully",""
"passed","Sun Jan 16 13:43:29 IST 2022","Sun Jan 16 13:43:31 IST 2022","2197","","lucaBuyNowGiveNowTests: Buy Now Give Now Manage Items","","lucaBuyNowGiveNowTests: Buy Now Give Now Manage Items","should input username","should input username",""
